sys-sent-id	ref-sent-id	evt-misses	evt-false-alarms	evt-pos-count	evt-match-qual	evt-precision	evt-recall	evt-fmeasure	arg-misses	arg-false-alarms	arg-pos-count	arg-match-qual	arg-precision	arg-recall	arg-fmeasure	combined-score
doc-0_12_0	doc-0_12_0	0	0	2	2.0	1.0	1.0	1.0	0	0	4	4.0	1.0	1.0	1.0	1.0
doc-0_28_0	doc-0_28_0	0	0	5	5.0	1.0	1.0	1.0	0	0	7	6.466666666666667	0.9238095238095239	0.9238095238095239	0.9238095238095239	0.9238095238095239
doc-0_47_0	doc-0_47_0	0	0	5	5.0	1.0	1.0	1.0	0	0	5	4.357142857142857	0.8714285714285713	0.8714285714285713	0.8714285714285712	0.8714285714285712
doc-0_4_0	doc-0_4_0	0	0	3	3.0	1.0	1.0	1.0	0	0	5	5.0	1.0	1.0	1.0	1.0
doc-0_6_0	doc-0_6_0	0	0	2	2.0	1.0	1.0	1.0	0	0	3	3.0	1.0	1.0	1.0	1.0
doc-1000_1_0	doc-1000_1_0	0	0	3	3.0	1.0	1.0	1.0	1	2	5	4.611111111111111	0.6587301587301587	0.7685185185185185	0.7094017094017093	0.7094017094017093
doc-1000_24_0	doc-1000_24_0	0	0	2	2.0	1.0	1.0	1.0	0	0	3	3.0	1.0	1.0	1.0	1.0
doc-1000_3_0	doc-1000_3_0	0	0	4	4.0	1.0	1.0	1.0	0	0	4	4.0	1.0	1.0	1.0	1.0
doc-1000_5_0	doc-1000_5_0	0	0	2	2.0	1.0	1.0	1.0	0	0	3	3.0	1.0	1.0	1.0	1.0
doc-1001_13_0	doc-1001_13_0	0	0	3	3.0	1.0	1.0	1.0	0	0	5	5.0	1.0	1.0	1.0	1.0
doc-1002_11_0	doc-1002_11_0	0	0	2	2.0	1.0	1.0	1.0	0	0	8	8.0	1.0	1.0	1.0	1.0
doc-1002_15_0	doc-1002_15_0	0	0	5	5.0	1.0	1.0	1.0	0	0	10	10.0	1.0	1.0	1.0	1.0
doc-1002_18_0	doc-1002_18_0	0	0	4	4.0	1.0	1.0	1.0	0	0	6	6.0	1.0	1.0	1.0	1.0
doc-1002_5_0	doc-1002_5_0	0	0	5	5.0	1.0	1.0	1.0	0	0	10	10.0	1.0	1.0	1.0	1.0
doc-1003_20_0	doc-1003_20_0	0	0	3	3.0	1.0	1.0	1.0	0	0	5	5.0	1.0	1.0	1.0	1.0
doc-1003_31_34	doc-1003_31_34	0	0	2	2.0	1.0	1.0	1.0	0	0	2	2.0	1.0	1.0	1.0	1.0
doc-1004_2_0	doc-1004_2_0	0	0	4	4.0	1.0	1.0	1.0	0	0	6	6.0	1.0	1.0	1.0	1.0
doc-1004_7_0	doc-1004_7_0	0	0	4	3.5	0.875	0.875	0.875	0	0	12	12.0	1.0	1.0	1.0	0.875
doc-1005_12_0	doc-1005_12_0	0	0	2	2.0	1.0	1.0	1.0	0	0	4	4.0	1.0	1.0	1.0	1.0
doc-1006_22_0	doc-1006_22_0	0	0	1	1.0	1.0	1.0	1.0	0	0	0	0.0	1.0	1.0	1.0	1.0
doc-1006_4_0	doc-1006_4_0	0	1	2	1.0	0.3333333333333333	0.5	0.4	0	2	4	4.0	0.6666666666666666	1.0	0.8	0.32000000000000006
doc-1007_31_0	doc-1007_31_0	0	0	7	6.75	0.9642857142857143	0.9642857142857143	0.9642857142857143	0	0	9	9.0	1.0	1.0	1.0	0.9642857142857143
doc-1008_33_0	doc-1008_33_0	1	0	2	2.0	1.0	0.6666666666666666	0.8	0	0	4	4.0	1.0	1.0	1.0	0.8
doc-1008_8_0	doc-1008_8_0	0	0	4	4.0	1.0	1.0	1.0	1	0	3	3.0	1.0	0.75	0.8571428571428571	0.8571428571428571
doc-1009_11_0	doc-1009_11_0	0	0	3	3.0	1.0	1.0	1.0	1	0	4	4.0	1.0	0.8	0.888888888888889	0.888888888888889
doc-105_16_0	doc-105_16_0	0	1	3	2.5	0.625	0.8333333333333334	0.7142857142857143	0	2	5	4.555555555555555	0.6507936507936508	0.9111111111111111	0.7592592592592592	0.5423280423280423
t8.v8.sys.bp.json	t8.v0.ref.bp.json	1	2	84	81.75	0.9505813953488372	0.961764705882353	0.956140350877193	3	6	136	133.99047619047616	0.9435949027498322	0.9639602603631379	0.9536688696831044	0.9118412876794594
